,orig.ident,nCount_RNA,nFeature_RNA,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,n_genes,leiden,Celltype
BC04BLOOD3_84771,31,1568.8906733989716,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640,0,CD4Tn
BC04BLOOD3_84772,31,1500.6905148029327,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591,0,CD4Tn
BC04BLOOD3_84776,31,1376.3403904438019,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504,0,CD4Tn
BC04BLOOD3_84778,31,1396.2493703365326,529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529,0,CD4Tn
BC04BLOOD3_84779,31,1413.754917383194,534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534,0,CD4Tn
BC04BLOOD3_84780,31,1467.7009537220001,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564,0,CD4Tn
BC04BLOOD3_84782,31,1546.098895072937,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593,0,CD4Tn
BC04BLOOD3_84785,31,1468.3148436546326,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592,0,CD4Tn
BC04BLOOD3_84786,31,1500.2410402297974,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,0,CD4Tn
BC04BLOOD3_84787,31,1511.1508436203003,597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597,0,CD4Tn
BC04BLOOD3_84798,31,1608.420574426651,624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,624,0,CD4Tn
BC04BLOOD3_84799,31,1426.4965436458588,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,549,0,CD4Tn
BC04BLOOD3_84806,31,1479.0087261199951,566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566,0,CD4Tn
BC04BLOOD3_84818,31,1662.0960500240326,671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,671,0,CD4Tn
BC04BLOOD3_84819,31,1487.296626329422,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564,0,CD4Tn
BC04BLOOD3_84823,31,1422.3026897907257,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,0,CD4Tn
BC04BLOOD3_84827,31,1609.459626197815,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690,0,CD4Tn
BC04BLOOD3_84831,31,1552.5133605003357,614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614,0,CD4Tn
BC04BLOOD3_84832,31,1452.3972601890564,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569,0,CD4Tn
BC04BLOOD3_84835,31,1519.1827278137207,601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601,0,CD4Tn
BC04BLOOD3_84847,31,1696.6955363750458,748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,748,0,CD4Tn
BC04BLOOD3_84848,31,1621.2456879615784,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631,0,CD4Tn
BC04BLOOD3_84850,31,1459.9665534496307,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556,0,CD4Tn
BC04BLOOD3_84851,31,1458.4454410076141,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569,0,CD4Tn
BC04BLOOD3_84852,31,1731.0184533596039,716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,0,CD4Tn
